index-entry-number,entry-number,entry-timestamp,key,registration-district,name,name-cy,start-date,end-date
76,76,2017-03-20T15:10:43Z,317,317,"Central Bedfordshire",,,
75,75,2017-03-20T15:10:43Z,316,316,Bedford,,,
74,74,2017-03-20T15:10:43Z,315,315,Luton,,,
73,73,2017-03-20T15:10:43Z,307,307,"North Somerset",,,
72,72,2017-03-20T15:10:43Z,304,304,"South Gloucestershire",,,
71,71,2017-03-20T15:10:43Z,301,301,Bristol,,,
70,70,2017-03-20T15:10:43Z,300,300,"Bath and North East Somerset",,,
69,69,2017-03-20T15:10:43Z,260,260,"Hammersmith and Fulham",,,
68,68,2017-03-20T15:10:43Z,258,258,Westminster,,,
67,67,2017-03-20T15:10:43Z,257,257,Newham,,,
66,66,2017-03-20T15:10:43Z,256,256,Wandsworth,,,
65,65,2017-03-20T15:10:43Z,255,255,"Waltham Forest",,,
64,64,2017-03-20T15:10:43Z,254,254,Sutton,,,
63,63,2017-03-20T15:10:43Z,251,251,Southwark,,,
62,62,2017-03-20T15:10:43Z,250,250,Camden,,,
61,61,2017-03-20T15:10:43Z,248,248,"Richmond Upon Thames",,,
60,60,2017-03-20T15:10:43Z,247,247,Redbridge,,,
59,59,2017-03-20T15:10:43Z,246,246,"Tower Hamlets",,,
58,58,2017-03-20T15:10:43Z,244,244,Merton,,,
57,57,2017-03-20T15:10:43Z,243,243,"London City",,,
56,56,2017-03-20T15:10:43Z,242,242,Lewisham,,,
55,55,2017-03-20T15:10:43Z,241,241,Lambeth,,,
54,54,2017-03-20T15:10:43Z,240,240,"Kingston Upon Thames",,,
53,53,2017-03-20T15:10:43Z,239,239,"Kensington and Chelsea",,,
52,52,2017-03-20T15:10:43Z,238,238,Islington,,,
51,51,2017-03-20T15:10:43Z,237,237,Hounslow,,,
50,50,2017-03-20T15:10:43Z,236,236,Hillingdon,,,
49,49,2017-03-20T15:10:43Z,234,234,Havering,,,
48,48,2017-03-20T15:10:43Z,233,233,Haringey,,,
47,47,2017-03-20T15:10:43Z,232,232,Harrow,,,
46,46,2017-03-20T15:10:43Z,230,230,Hackney,,,
45,45,2017-03-20T15:10:43Z,229,229,Greenwich,,,
44,44,2017-03-20T15:10:43Z,227,227,Enfield,,,
43,43,2017-03-20T15:10:43Z,226,226,Ealing,,,
42,42,2017-03-20T15:10:43Z,225,225,Croydon,,,
41,41,2017-03-20T15:10:43Z,222,222,Bromley,,,
40,40,2017-03-20T15:10:43Z,221,221,Brent,,,
39,39,2017-03-20T15:10:43Z,220,220,Bexley,,,
38,38,2017-03-20T15:10:43Z,219,219,Barnet,,,
37,37,2017-03-20T15:10:43Z,218,218,"Barking and Dagenham",,,
36,36,2017-03-20T15:10:43Z,97,97,Wakefield,,,
35,35,2017-03-20T15:10:43Z,92,92,Leeds,,,
34,34,2017-03-20T15:10:43Z,90,90,Kirklees,,,
33,33,2017-03-20T15:10:43Z,86,86,Calderdale,,,
32,32,2017-03-20T15:10:43Z,83,83,"Bradford and Keighley",,,
31,31,2017-03-20T15:10:43Z,77,77,Wolverhampton,,,
30,30,2017-03-20T15:10:43Z,75,75,Walsall,,,
29,29,2017-03-20T15:10:43Z,73,73,Solihull,,,
28,28,2017-03-20T15:10:43Z,70,70,Sandwell,,,
27,27,2017-03-20T15:10:43Z,65,65,Dudley,,,
26,26,2017-03-20T15:10:43Z,63,63,Coventry,,,
25,25,2017-03-20T15:10:43Z,61,61,Birmingham,,,
24,24,2017-03-20T15:10:43Z,58,58,Sunderland,,,
23,23,2017-03-20T15:10:43Z,57,57,"South Tyneside",,,
22,22,2017-03-20T15:10:43Z,54,54,"North Tyneside",,,
21,21,2017-03-20T15:10:43Z,53,53,"Newcastle Upon Tyne",,,
20,20,2017-03-20T15:10:43Z,51,51,Gateshead,,,
19,19,2017-03-20T15:10:43Z,48,48,Sheffield,,,
18,18,2017-03-20T15:10:43Z,45,45,Rotherham,,,
17,17,2017-03-20T15:10:43Z,42,42,Doncaster,,,
16,16,2017-03-20T15:10:43Z,41,41,Barnsley,,,
15,15,2017-03-20T15:10:43Z,37,37,Wirral,,,
14,14,2017-03-20T15:10:43Z,35,35,Sefton,,,
13,13,2017-03-20T15:10:43Z,30,30,"St Helens",,,
12,12,2017-03-20T15:10:43Z,25,25,Liverpool,,,
11,11,2017-03-20T15:10:43Z,23,23,Knowsley,,,
10,10,2017-03-20T15:10:43Z,18,18,"Wigan and Leigh",,,
9,9,2017-03-20T15:10:43Z,15,15,Trafford,,,
8,8,2017-03-20T15:10:43Z,14,14,Tameside,,,
7,7,2017-03-20T15:10:43Z,13,13,Stockport,,,
6,6,2017-03-20T15:10:43Z,11,11,Salford,,,
5,5,2017-03-20T15:10:43Z,9,9,Rochdale,,,
4,4,2017-03-20T15:10:43Z,7,7,Oldham,,,
3,3,2017-03-20T15:10:43Z,6,6,Manchester,,,
2,2,2017-03-20T15:10:43Z,3,3,Bury,,,
1,1,2017-03-20T15:10:43Z,2,2,Bolton,,,
