index-entry-number,entry-number,entry-timestamp,key,"ddat-profession-capability-framework-skill-type",name,start-date,end-date
2,2,2018-07-02T17:13:34Z,11,11,Desirable,,
1,1,2018-07-02T17:13:34Z,10,10,Essential,,
