index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-registration-district-eng",registration-district,name,start-date,end-date
113,113,2017-11-29T13:39:19Z,E28000047,E28000047,227,,2009-01-01,
112,112,2017-11-29T13:39:19Z,E28000048,E28000048,229,,2009-01-01,
111,111,2017-11-29T13:39:19Z,E28000049,E28000049,230,,2009-01-01,
110,110,2017-11-29T13:39:19Z,E28000050,E28000050,232,,2009-01-01,
109,109,2017-11-29T13:39:19Z,E28000051,E28000051,233,,2009-01-01,
108,108,2017-11-29T13:39:19Z,E28000052,E28000052,234,,2009-01-01,
107,107,2017-11-29T13:39:19Z,E28000053,E28000053,236,,2009-01-01,
106,106,2017-11-29T13:39:19Z,E28000054,E28000054,237,,2009-01-01,
105,105,2017-11-29T13:39:19Z,E28000055,E28000055,238,,2009-01-01,
104,104,2017-11-29T13:39:19Z,E28000056,E28000056,239,,2009-01-01,
103,103,2017-11-29T13:39:19Z,E28000057,E28000057,240,,2009-01-01,
102,102,2017-11-29T13:39:19Z,E28000058,E28000058,241,,2009-01-01,
101,101,2017-11-29T13:39:19Z,E28000059,E28000059,242,,2009-01-01,
100,100,2017-11-29T13:39:19Z,E28000060,E28000060,243,,2009-01-01,
99,99,2017-11-29T13:39:19Z,E28000061,E28000061,244,,2009-01-01,
98,98,2017-11-29T13:39:19Z,E28000062,E28000062,246,,2009-01-01,
97,97,2017-11-29T13:39:19Z,E28000063,E28000063,247,,2009-01-01,
96,96,2017-11-29T13:39:19Z,E28000064,E28000064,248,,2009-01-01,
95,95,2017-11-29T13:39:19Z,E28000065,E28000065,250,,2009-01-01,
94,94,2017-11-29T13:39:19Z,E28000066,E28000066,251,,2009-01-01,
93,93,2017-11-29T13:39:19Z,E28000067,E28000067,254,,2009-01-01,
92,92,2017-11-29T13:39:19Z,E28000068,E28000068,255,,2009-01-01,
91,91,2017-11-29T13:39:19Z,E28000069,E28000069,256,,2009-01-01,
90,90,2017-11-29T13:39:19Z,E28000070,E28000070,257,,2009-01-01,
89,89,2017-11-29T13:39:19Z,E28000071,E28000071,258,,2009-01-01,
88,88,2017-11-29T13:39:19Z,E28000072,E28000072,260,,2009-01-01,
87,87,2017-11-29T13:39:19Z,E28000073,E28000073,300,,2009-01-01,
86,86,2017-11-29T13:39:19Z,E28000074,E28000074,301,,2009-01-01,
85,85,2017-11-29T13:39:19Z,E28000075,E28000075,304,,2009-01-01,
84,84,2017-11-29T13:39:19Z,E28000076,E28000076,307,,2009-01-01,
83,83,2017-11-29T13:39:19Z,E28000078,E28000078,315,,2009-01-01,
82,82,2017-11-29T13:39:19Z,E28000204,E28000204,316,,2009-04-01,
81,81,2017-11-29T13:39:19Z,E28000205,E28000205,317,,2009-04-01,
80,80,2017-11-29T13:39:19Z,E28000079,E28000079,318,,2009-01-01,
79,79,2017-11-29T13:39:19Z,E28000080,E28000080,319,,2009-01-01,
78,78,2017-11-29T13:39:19Z,E28000081,E28000081,320,,2009-01-01,
77,77,2017-11-29T13:39:19Z,E28000082,E28000082,321,,2009-01-01,
76,76,2017-11-29T13:39:19Z,E28000083,E28000083,322,,2009-01-01,
75,75,2017-11-29T13:39:19Z,E28000084,E28000084,323,,2009-01-01,
74,74,2017-11-29T13:39:19Z,E28000085,E28000085,326,,2009-01-01,
73,73,2017-11-29T13:39:19Z,E28000086,E28000086,328,,2009-01-01,
72,72,2017-11-29T13:39:19Z,E28000087,E28000087,335,,2009-01-01,
71,71,2017-11-29T13:39:19Z,E28000088,E28000088,339,,2009-01-01,
70,70,2017-11-29T13:39:19Z,E28000206,E28000206,342,,2009-04-01,
69,69,2017-11-29T13:39:19Z,E28000089,E28000089,343,,2009-01-01,
68,68,2017-11-29T13:39:19Z,E28000207,E28000207,345,,2009-04-01,
67,67,2017-11-29T13:39:19Z,E28000090,E28000090,346,,2009-01-01,
66,66,2017-11-29T13:39:19Z,E28000092,E28000092,348,,2009-01-01,
65,65,2017-11-29T13:39:19Z,E28000093,E28000093,349,,2009-01-01,
64,64,2017-11-29T13:39:19Z,E28000094,E28000094,350,,2009-01-01,
63,63,2017-11-29T13:39:19Z,E28000095,E28000095,351,,2009-01-01,
62,62,2017-11-29T13:39:19Z,E28000096,E28000096,360,,2009-01-01,
61,61,2017-11-29T13:39:19Z,E28000097,E28000097,371,,2009-01-01,
60,60,2017-11-29T13:39:19Z,E28000216,E28000216,387,,2011-12-01,
59,59,2017-11-29T13:39:19Z,E28000111,E28000111,394,,2009-01-01,
58,58,2017-11-29T13:39:19Z,E28000219,E28000219,398,,2013-01-17,
57,57,2017-11-29T13:39:19Z,E28000115,E28000115,416,,2009-01-01,
56,56,2017-11-29T13:39:19Z,E28000116,E28000116,422,,2009-01-01,
55,55,2017-11-29T13:39:19Z,E28000117,E28000117,423,,2009-01-01,
54,54,2017-11-29T13:39:19Z,E28000118,E28000118,427,,2009-01-01,
53,53,2017-11-29T13:39:19Z,E28000119,E28000119,429,,2009-01-01,
52,52,2017-11-29T13:39:19Z,E28000120,E28000120,431,,2009-01-01,
51,51,2017-11-29T13:39:19Z,E28000121,E28000121,436,,2009-01-01,
50,50,2017-11-29T13:39:19Z,E28000122,E28000122,442,,2009-01-01,
49,49,2017-11-29T13:39:19Z,E28000123,E28000123,452,,2009-01-01,
48,48,2017-11-29T13:39:19Z,E28000124,E28000124,462,,2009-01-01,
47,47,2017-11-29T13:39:19Z,E28000210,E28000210,463,,2010-02-01,
46,46,2017-11-29T13:39:19Z,E28000132,E28000132,475,,2009-01-01,
45,45,2017-11-29T13:39:19Z,E28000133,E28000133,477,,2009-01-01,
44,44,2017-11-29T13:39:19Z,E28000135,E28000135,488,,2009-01-01,
43,43,2017-11-29T13:39:19Z,E28000136,E28000136,497,,2009-01-01,
42,42,2017-11-29T13:39:19Z,E28000137,E28000137,500,,2009-01-01,
41,41,2017-11-29T13:39:19Z,E28000138,E28000138,504,,2009-01-01,
40,40,2017-11-29T13:39:19Z,E28000139,E28000139,511,,2009-01-01,
39,39,2017-11-29T13:39:19Z,E28000140,E28000140,527,,2009-01-01,
38,38,2017-11-29T13:39:19Z,E28000141,E28000141,538,,2009-01-01,
37,37,2017-11-29T13:39:19Z,E28000142,E28000142,541,,2009-01-01,
36,36,2017-11-29T13:39:19Z,E28000144,E28000144,550,,2009-01-01,
35,35,2017-11-29T13:39:19Z,E28000145,E28000145,554,,2009-01-01,
34,34,2017-11-29T13:39:19Z,E28000146,E28000146,556,,2009-01-01,
33,33,2017-11-29T13:39:19Z,E28000147,E28000147,561,,2009-01-01,
32,32,2017-11-29T13:39:19Z,E28000148,E28000148,564,,2009-01-01,
31,31,2017-11-29T13:39:19Z,E28000149,E28000149,580,,2009-01-01,
30,30,2017-11-29T13:39:19Z,E28000150,E28000150,581,,2009-01-01,
29,29,2017-11-29T13:39:19Z,E28000151,E28000151,591,,2009-01-01,
28,28,2017-11-29T13:39:19Z,E28000152,E28000152,600,,2009-01-01,
27,27,2017-11-29T13:39:19Z,E28000153,E28000153,604,,2009-01-01,
26,26,2017-11-29T13:39:19Z,E28000154,E28000154,605,,2009-01-01,
25,25,2017-11-29T13:39:19Z,E28000155,E28000155,609,,2009-01-01,
24,24,2017-11-29T13:39:19Z,E28000214,E28000214,642,,2011-04-01,
23,23,2017-11-29T13:39:19Z,E28000165,E28000165,650,,2009-01-01,
22,22,2017-11-29T13:39:19Z,E28000166,E28000166,661,,2009-01-01,
21,21,2017-11-29T13:39:19Z,E28000212,E28000212,674,,2010-10-01,
20,20,2017-11-29T13:39:19Z,E28000174,E28000174,681,,2009-01-01,
19,19,2017-11-29T13:39:19Z,E28000175,E28000175,685,,2009-01-01,2012-03-29
18,18,2017-11-29T13:39:19Z,E28000176,E28000176,686,,2009-01-01,2012-03-29
17,17,2017-11-29T13:39:19Z,E28000177,E28000177,687,,2009-01-01,2012-03-29
16,16,2017-11-29T13:39:19Z,E28000178,E28000178,688,,2009-01-01,2012-03-29
15,15,2017-11-29T13:39:19Z,E28000179,E28000179,689,,2009-01-01,
14,14,2017-11-29T13:39:19Z,E28000180,E28000180,690,,2009-01-01,2012-03-29
13,13,2017-11-29T13:39:19Z,E28000217,E28000217,692,,2012-03-30,
12,12,2017-11-29T13:39:19Z,E28000181,E28000181,695,,2009-01-01,
11,11,2017-11-29T13:39:19Z,E28000182,E28000182,716,,2009-01-01,
10,10,2017-11-29T13:39:19Z,E28000183,E28000183,717,,2009-01-01,
9,9,2017-11-29T13:39:19Z,E28000184,E28000184,722,,2009-01-01,
8,8,2017-11-29T13:39:19Z,E28000185,E28000185,737,,2009-01-01,
7,7,2017-11-29T13:39:19Z,E28000186,E28000186,738,,2009-01-01,
6,6,2017-11-29T13:39:19Z,E28000213,E28000213,748,,2010-11-02,
5,5,2017-11-29T13:39:19Z,E28000193,E28000193,759,,2009-01-01,
4,4,2017-11-29T13:39:19Z,E28000209,E28000209,776,,2008-12-17,
3,3,2017-11-29T13:39:19Z,E28000211,E28000211,785,,2010-04-01,
2,2,2017-11-29T13:39:19Z,E28000202,E28000202,796,,2009-01-01,
1,1,2017-11-29T13:39:19Z,E28000203,E28000203,799,,2009-01-01,
